"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.06.2018","28.8810","24.9610","29.6900","24.8375","","15.80%"
"01.05.2018","24.9410","20.5150","25.0350","20.5150","","21.59%"
"01.04.2018","20.5130","20.1150","20.9350","20.0775","","2.00%"
"01.03.2018","20.1100","20.1950","20.4500","20.0750","","0.00%"
"01.02.2018","20.1100","19.5650","20.2800","19.3300","","2.45%"
"01.01.2018","19.6300","18.6400","19.7100","18.3250","","5.57%"
"01.12.2017","18.5940","17.3050","19.1800","17.1900","","7.48%"
"01.11.2017","17.3000","17.6350","17.7200","17.2750","","-1.87%"
"01.10.2017","17.6300","17.2875","17.7800","17.2350","","1.97%"
"01.09.2017","17.2890","17.2800","17.6850","16.9545","","-0.18%"
"01.08.2017","17.3200","17.6500","17.8550","17.0070","","-1.81%"
"01.07.2017","17.6400","16.7650","17.8025","16.7450","","6.23%"
"01.06.2017","16.6060","16.0950","16.6575","15.8250","","3.29%"
"01.05.2017","16.0770","15.3885","16.1898","15.2250","","4.57%"
"01.04.2017","15.3750","15.3805","15.5200","15.1225","","0.05%"
"01.03.2017","15.3670","15.4700","15.7505","15.3200","","-0.67%"
"01.02.2017","15.4700","15.9050","15.9055","15.3300","","-2.69%"
"01.01.2017","15.8970","15.8775","16.1375","15.7350","","0.27%"
