Fecha de operación; Precio ;;
2/12/2002; $ 360,00 ;;
3/12/2002; $ 350,00 ;;
4/12/2002; $ 350,00 ;;
5/12/2002; $ 350,00 ;;
6/12/2002; $ 350,00 ;;
9/12/2002; $ 350,00 ;;
10/12/2002; $ 350,00 ;;
11/12/2002; $ 350,00 ;;
12/12/2002; $ 350,00 ;;
13/12/2002; $ 350,00 ;;
16/12/2002; $ 350,00 ;;
17/12/2002; $ 350,00 ;;
18/12/2002; $ 350,00 ;;
19/12/2002; $ 351,00 ;;
20/12/2002; $ 350,00 ;;
23/12/2002; $ 350,00 ;;
26/12/2002; $ 345,00 ;;
27/12/2002; $ 340,00 ;;
30/12/2002; $ 349,50 ;;
2/1/2003; $ 349,00 ;;
3/1/2003; $ 340,00 ;;
6/1/2003; $ 340,00 ;;
7/1/2003; $ 340,00 ;;
8/1/2003; $ 349,90 ;;
9/1/2003; $ 350,00 ;;
10/1/2003; S/C ;;
13/1/2003; S/C ;;
14/1/2003; $ 350,00 ;;
15/1/2003; $ 350,00 ;;
16/1/2003; $ 350,00 ;;
17/1/2003; $ 355,50 ;;
20/1/2003; $ 350,00 ;;
21/1/2003; $ 360,00 ;;
22/1/2003; $ 360,00 ;;
23/1/2003; $ 360,00 ;;
24/1/2003; $ 360,00 ;;
27/1/2003; $ 360,00 ;;
28/1/2003; $ 360,00 ;;
29/1/2003; $ 360,00 ;;
30/1/2003; $ 354,70 ;;
31/1/2003; $ 350,00 ;;
3/2/2003; $ 347,00 ;;
4/2/2003; $ 350,00 ;;
5/2/2003; $ 350,00 ;;
6/2/2003; $ 359,30 ;;
7/2/2003; $ 359,60 ;;
10/2/2003; $ 360,00 ;;
11/2/2003; $ 360,00 ;;
12/2/2003; $ 360,00 ;;
13/2/2003; $ 360,00 ;;
14/2/2003; $ 360,00 ;;
17/2/2003; $ 360,00 ;;
18/2/2003; $ 359,00 ;;
19/2/2003; $ 360,00 ;;
20/2/2003; $ 360,00 ;;
21/2/2003; $ 360,00 ;;
24/2/2003; $ 362,10 ;;
25/2/2003; $ 360,00 ;;
26/2/2003; $ 360,00 ;;
27/2/2003; $ 360,00 ;;
28/2/2003; $ 360,00 ;;
3/3/2003; S/C ;;
4/3/2003; S/C ;;
5/3/2003; S/C ;;
6/3/2003; S/C ;;
7/3/2003; S/C ;;
10/3/2003; $ 350,00 ;;
11/3/2003; $ 355,00 ;;
12/3/2003; $ 355,00 ;;
13/3/2003; $ 355,00 ;;
14/3/2003; $ 350,00 ;;
17/3/2003; $ 340,00 ;;
18/3/2003; $ 325,00 ;;
19/3/2003; $ 311,70 ;;
20/3/2003; $ 310,00 ;;
21/3/2003; $ 310,00 ;;
24/3/2003; $ 305,00 ;;
25/3/2003; $ 305,00 ;;
26/3/2003; $ 305,00 ;;
27/3/2003; $ 305,00 ;;
28/3/2003; $ 300,00 ;;
1/4/2003; $ 300,00 ;;
3/4/2003; $ 303,00 ;;
4/4/2003; $ 303,00 ;;
7/4/2003; $ 290,00 ;;
8/4/2003; $ 290,00 ;;
