"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.12.2017","427.50","432.50","442.75","411.00","","-1.58%"
"01.11.2017","434.38","418.75","439.00","409.12","","3.79%"
"01.10.2017","418.50","445.00","450.50","416.50","","-6.64%"
"01.09.2017","448.25","434.75","462.75","428.50","","2.93%"
"01.08.2017","435.50","472.25","478.00","400.75","","-8.17%"
"01.07.2017","474.25","539.62","574.25","472.00","","-9.80%"
"01.06.2017","525.75","429.38","525.75","421.62","","22.41%"
"01.05.2017","429.50","441.50","461.50","420.50","","-0.72%"
"01.04.2017","432.62","430.50","436.50","400.25","","1.61%"
"01.03.2017","425.75","443.00","462.50","417.00","","-4.06%"
"01.02.2017","443.75","421.25","464.25","417.25","","5.40%"
"01.01.2017","421.00","408.38","437.62","405.00","","3.25%"
